S.N,Ward No.,Case No.,Brief Description of the grievance,Date of Grievance,Department,Status
62,NoWard,9244,गुहेश्वरी सिनामंगल आधारभुत सामुदाियक  विध्यालयमा शिक्षकहरु कहिले आउने कहिले नआउने आएपनि हाजिर गरेर बाहिर जाने सातपिरेडकाे कक्षामा २/३ पिरेड कक्षा कहिले नहुने यस्ताे लापरबाहि भएकाे छ कामपा कार्यालयले तुरुन्त अनुगमन गरी कारबाहि गरिनुपर्याे भन्ने गुनासाे आएकाे छ । ,06/17/2024,शिक्षा विभाग,open
63,Ward 1,9231,"विशालनगरमा रहेको मल्पी सिटी स्कुल (Malpi City School Junior Block) को बिल्डिंगको छानो टिनको रहेको छ, अहिलेको यस गर्मी मौसममा बच्चाहरुलाई त्यहाँ बसेर पढ्न गाह्रो भईरहेको छ, अभिभावकहरुले स्कुलमा गएर यस बारे कुरा गर्दा पनि केहि सुनुवाई भएन भन्ने गुनासो आएको छ। ",06/15/2024,शिक्षा विभाग,open
64,Ward 11,9221,"थापाथलीमा Clamphook भन्ने institute छ जहाँ २००० बढी विद्यार्थीहरुको शिक्षण भइराखेको छ | त्यहाँ  टोइलेट र पानिको केहि व्येवास्था छैन | झ्याल, भेन्टिलेशन पनि नभएको क्लासहरु छन् |  मापदण्ड बिपरित क्लास संचालन गरिएको छ, अनुगमन गरिदिनु पर्यो भन्ने गुनासो आएको छ |",06/14/2024,शिक्षा विभाग,open
65,Ward 5,9206,"नक्सालमा रहेको वृहस्पति विद्या सदन विद्यालयले २ कि.मि. भन्दा कम दुरीको बस भाडा रु ३५०० लिइरहेको छ, जब कि ५ कि.मि. भन्दा बढी दुरीको मात्र भाडा रु २५०० लिन मिल्छ, यो बस भाडामा भएको लापरबाहीको अनुगमन गर्दिन पर्यो भन्ने गुनासो आएको छ। ",06/12/2024,शिक्षा विभाग,open
66,Ward 13,9199,"परोपकार आदर्श माध्यमिक बिद्यालयको सिमाना भित्र सटरमा पसल राखेर व्यापार गरिराखेको छ, आएर अनुगमन गरिदिनु पर्यो भन्ने गुनासो आएको छ | ",06/12/2024,शिक्षा विभाग,open
67,Ward 29,9189,२८ वडा पद्माेदय स्कुलमा कक्षा ८ मा भर्ना भएकाे विध्यार्थि फेल भएर फेरि कक्षा आठमै भर्ना हुदाँ भर्ना फि लियाे भन्ने गुनासाे आएकाे छ ।,06/10/2024,शिक्षा विभाग,open
68,Ward 10,9149,नाेबल एकेडेमि स्कुलले वास्तविक विध्यार्थि संख्या लुकाएर कम छात्रवृति काेटाहरु निकाल्याे अनुगमनकाे लागि अनुराेध छ ।,06/08/2024,शिक्षा विभाग,open
69,Ward 32,9148,भियसनिकेतन स्कुलले त्यहि पढेका  विध्यार्थिहरुलाई वार्षिक शुल्क भनेर ठुलाे रकम लिइरहेकाे छ अनुगमन गर्नपर्याे भन्ने गुनासाे आएकाे छ । ,06/07/2024,शिक्षा विभाग,open
70,Ward 32,9139,"३२ वडा जडिबुटि नरेफाट न्यु टुलिस संस्थागत स्कुलले भर्ना फ्रि महङ्गाे लियाे स्कुलमा बालबालिकाकाे  खाजा खानकाे लागि ओत  लाग्ने ठाउँ छैन , लाइनमा बस्दा पनि आदि चाैरमा आदि क्लासमा लाइन बस्नुपर्ने , गेटमा गेटपालेकाे व्यवस्था पनि छैन  मापदण्ड विपरित स्कुल सञ्चालन गरेकाे छ तुरुन्त अनुगमन गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ",06/06/2024,शिक्षा विभाग,open
71,Ward 9,9122,कामपा ९ वडा सिनामंगलमा रहेको एस स्कुलले त्यही पढिराखेका सबै विधार्थीसँग वार्षिक शुल्क भनेर ठूलो रकम लिने गर्दछ ।,06/04/2024,शिक्षा विभाग,open
72,Ward 9,9121,कामपा ९ वडा सिनामंगलमा रहेको एस स्कुलले त्यही पढिराखेका सबै विधार्थीसँग वार्षिक शुल्क भनेर ठूलो रकम लिने गर्दछ ।,06/04/2024,शिक्षा विभाग,open
73,Ward 3,9018,पानीपोखरी निर भएको भानुभक्त स्कुलमा भर्ना फी भनेर २ कक्षामा पढ्ने बिध्यार्थीलाइ १५००० लिएको छ भन्ने गुनासो आएको छ |,05/18/2024,शिक्षा विभाग,open
74,Ward 16,9012,१६ नं वडा चमति  AVM स्कुलले त्यहि पढकाे विध्यार्थि सँग भर्ना शुल्क लियाे  अनुगमन गरिदिनुपर्याे । ,05/16/2024,शिक्षा विभाग,open
75,Ward 14,9002,कलंकि चाेक निर रहेकाे पिनाकल स्कलस् एकेडेमि स्कुलले भर्ना शुल्क ११००० लियाे Monthly Fee 5000 छ अनुगमन गरिदिनुपर्याे । ,05/15/2024,शिक्षा विभाग,open
76,Ward 14,8989, १४ वडामा रहेकाे बल्खु वर्नहार्ड कलेजले स्कलरसिपमा पढेकाे विध्यार्थिलाइ १२००० रुपैया लियाे  तुरुन्त अनुगमन गरिनुपर्याे ।,05/13/2024,शिक्षा विभाग,open
77,Ward 28,8984,कामपा २८ पुतलीसडकमा रहेको काम्यक सेकेन्डरी स्कुलले वार्षिक शुल्क लिइरहेको छ भन्ने गुनासो आएको । अनुगमन गरिदिनुपर्याे ।,05/13/2024,शिक्षा विभाग,open
78,Ward 13,8978,कामपा १३ ताहाचलमा होलिभिजन स्कुलले वार्षिक शुल्क लिइरहेको छ । अनुगमन गरिदिनुपर्यो ।,05/13/2024,शिक्षा विभाग,open
79,Ward 10,8971,वडा नं १० अन्तर्गत नयाँबानेश्वर मा रहेकाे क्याम्ब्रिज स्कुलले वार्षिक शुल्क लियाे अनुगमन गरिदिनुपर्याे । ,05/12/2024,शिक्षा विभाग,open
80,Ward 17,8962,वार्ड १७ भुरुङखेलमा रहेको White Field Higher Secondary School ले त्येही पढेको LKG बाट UKG जादै गरेको विद्यार्थी संग भर्ना मुलक भनेर १७०००  लिएको छ |,05/11/2024,शिक्षा विभाग,open
81,NoWard,8931,महानगरको सपोर्टमा खरिबोटमा  Autism school चलिराखेको छ | त्यहाँ एडमिसन फी १५००० लिराखेको छ | यो बारेमा महानगर बेखबर छ कि थाहा पाएर पनि  एतिकै बसिराख्नु भएको हो  भनेर गुनासो आएको छ |,05/05/2024,शिक्षा विभाग,open
82,Ward 15,8925,छाउनीको सांकारी स्कूलले जथाभाबी Annual fee लिएर हैरान बनायो। ,05/04/2024,शिक्षा विभाग,closed
83,Ward 16,8914,कामपा 16 खरिबाेट अदितिय वाेडिङ स्कुलले भर्ना फि भनेर शुल्क लियाे अनुगमन गरिदिनुपर्याे । ,05/02/2024,शिक्षा विभाग,open
84,Ward 7,8907,सरस्वति एकेडेमि स्कुलले नियमित कक्षाामा नपढाएर २ घण्टा  extra class भनेर  लिइरहेकाे छ याे अति भयाे राेक्नुपर्याे । ,05/01/2024,शिक्षा विभाग,open
85,Ward 11,8890,"URO Kids थापाथलि LKG पढ्ने विद्यार्थिलाइ  स्टेशनरी र URO Kids भनेर ४९,००० लियाे । अनुगमन गरिदिनुपर्याे । ",04/29/2024,शिक्षा विभाग,open
86,Ward 15,8888,१५ नं वडा जगंतसुन्दर वानिकुटि स्कुलले Annual Fee  भनेर पैसा लियाे  अनुगमन गरिदिनुपर्याे । ,04/29/2024,शिक्षा विभाग,open
87,Ward 10,8870,"काठमाडौँ महानगरले भर्ना शुल्क लिन नमिल्ने भनि सूचना जारी गरेता पनि K.M.C School ले त्यहि पढिरहेको विद्यार्थीलाई भर्ना शुल्क लिइरहेको छ, अनुगमन गर्न पर्यो ।",04/27/2024,शिक्षा विभाग,open
88,Ward 7,8862,रिवेरा इन्टरनेशनल स्कुलले भर्ना शुल्क १७००० र Monthly  Fee  ४८०० रुपैया लियाे । अनुगमन गरिदिनुपर्याे । ,04/26/2024,शिक्षा विभाग,open
89,Ward 29,8861,"अक्सिडेन्टल पब्लिक स्कुल , अनामनगर मा रहेकाे  स्कुले भर्ना शुल्क रु १०,००० लियाे साथै  मथ्लि रु ५५०० पनि लियाे अनुगमन गरिदिनुपर्याे । ",04/26/2024,शिक्षा विभाग,open
90,Ward 14,8856,Pinacle Scolors Boarding School कल‍ंकीले आफ्ना विधार्थीलाइ आफ्नै स्कुलको कपी स्टेशनरी किन्न बाध्य गरायो ।,04/25/2024,शिक्षा विभाग,open
91,Ward 14,8853,कुलेश्वर आवास मावि ले दुइकक्षाकाे  annual Fee भनेर ७/८ हजार लियाे । भन्ने उजुरी आएकाे छ । ,04/25/2024,शिक्षा विभाग,open
92,Ward 32,8850,वार्ड ३२ ग्लोबल पब्लिक स्कुल पेप्सीकोलामा भर्ना सुल्क भनेर ठुलो रकम उसुलेको छ भन्ने गुनासो आएको छ |,04/25/2024,शिक्षा विभाग,open
93,Ward 29,8849,डिल्लिबजारमा रहेकाे CBM College ले  १३ दिन Absent  भएकाे पैसा १३०० लियाे यसकाे उचित अनुगमन गरिदिनुपर्याे । exam   काे ADMIT  CARD  दिएन ।,04/25/2024,शिक्षा विभाग,open
94,Ward 4,8848,कामपा अन्तर्गत रहेकाे काठमाडाैं मेरिडियन स्कुल कामपा ४ लाेहचाल चत्पलकारखाना नजिक रहेकाे छ स्कुलले विविध शुल्क राखेर चर्काे शुल्क अशुल्दै आएकाे छ अनुगमन गरिदिनुपर्याे ।,04/24/2024,शिक्षा विभाग,open
95,Ward 14,8845,"कामपा १४ नं वडा मा रहेकाे LRI स्कुल कलंकीले भर्ना शुल्क २३,२४०। लियाे  अनुगमन गरिदिनुपर्याे । ",04/24/2024,शिक्षा विभाग,open
96,Ward 16,8843,कामपा १६ बालाजु तरुन मा‍.वि. ले जनसहयोग भनेर रु. ३५००।- को रसिद दिन्छ । अनुगमन गरिदिनुपर्यो ।,04/24/2024,शिक्षा विभाग,open
97,Ward 27,8842,कामपा २७ पानीपाेखरीमा रहेकाे भानुभक्त स्कुलले भर्ना शुल्क लिन्छ । मासिक शुल्क पनि वृद्धि गरेको छ ।,04/24/2024,शिक्षा विभाग,open
98,Ward 10,8840,"Apex college पछाडी भएको Montessori Kinderworld मा मेन्टेनेन्स र स्टेसनरि फी भनेर लोवर केजीमा पढ्नेलाइ ४९००० लिएको छ तर रिसिप्तहरु पनि पछि पठाउछाै भनेर दिएको छैन | त्यो बाहेक खाजा र ट्रान्सपोर्ट भनेर पनि छुटै फी लिनुहुन्छ | महानगरको सूचना बिपरित भयो भन्ने गुनासो आएको छ, अनुसन्धान गरेर सामाधान गर्नु पर्यो |",04/24/2024,शिक्षा विभाग,open
99,Ward 10,8835,काठमाडाै प्रज्ञा  कुन्ज स्कुल ले Annual  Fee भनेर पैसा लिएकाे छ  अनुगमन गरिदिनुपर्याे । ,04/22/2024,शिक्षा विभाग,open
100,Ward 14,8830,१४ नं वडा मा रहेकाे Times Intrenational School ले  भर्ना शुल्क अघिल्लाे वर्ष पनि  लियाे अहिले पनि लियाे  अनुगमन गरिदिनुपर्याे । ,04/22/2024,शिक्षा विभाग,closed
101,Ward 32,8827,३२ नं वडा पेप्सिकाेला करियर स्कुलले त्यहि पढेका विध्यार्थिलाइ फेरि भर्ना शुल्क लिइ राखेकाे छ ।अनुगमन गरिदिनुपर्याे । ,04/22/2024,शिक्षा विभाग,open
102,Ward 29,8825,डिल्लिबजार भिजन स्कार स्कुलले भर्ना शुल्क उल्लेख नगरि नाम दर्ता जस्ताे अनेक शिर्षक राखेर भर्ना जस्तै शुल्क असुलेकाे छ तुरुन्त राेकिदिनुपर्याे    ,04/22/2024,शिक्षा विभाग,open
103,Ward 16,8821,"बालाजुको Holy Garden School ले कक्षा ९ को मासिक शुल्क रु.७८०० लिएर पनि कपि, पेन्सिल र  स्वीमिङ्गलाई भनि अतिरिक्त मासिक शुल्क रु.२६०० लिदै आइरहेको छ। अतिरिक्त मासिक शुल्क अनावश्यक भएको भनि पटक पटक स्कुलमा गुनासो राख्दा पनि स्कुलमा केहि परिवर्तन नभएको भन्ने गुनासो आएको छ। ",04/21/2024,शिक्षा विभाग,open
104,Ward 24,8820,२४ नं वडा इन्द्रचाेक एरियामा पसलहरुकाे फाेहाेरकाे पैसा प्राइभेट कम्पनिले उठाइरहेकाे  छ र घरकाे पैसा पनि छुट्टै  एउटै व्यक्तिलाइ तिर्नुपर्याे  दाेहाेराे कर भयाे । ,04/21/2024,शिक्षा विभाग,open
105,Ward 1,8818,१ नं वडा नक्साल राइ स्कुलले भर्ना शुल्क भनेर कक्षा ४ काे विध्यार्थिकाे चालिस हजार लियाे तुरुन्त अनुगमन गरिदिनुपर्याे । ,04/21/2024,शिक्षा विभाग,open
106,NoWard,8817,कान्तपुर स्कुलमा कक्षा ५ मा पढ्ने विध्यार्थि सँग भर्ना शुल्क ४०००० लियाे याे अति नै महङगाे भयाे याे स्कुल सामान्य हाे   महानगरपालिकाले भर्ना शुल्क फ्रि भने पनि प्रत्येक स्कुलले मनलाग्दि तरिकाले पैसा लिएकाे देखिएकाे छ  अनुगमन गर्न जरुरी छ छिटाे अनुगमन गरिदिनुपर्याे । ,04/21/2024,शिक्षा विभाग,open
107,Ward 29,8816,२९ नं वडा अन्तर्गत रहेकाे अक्सिडेन्टल पब्लिक स्कुलले २ वर्ष अगाडि बिध्यार्थिलाइ टहरामा नपढाएर विल्डिमा पढाउछाै भनेकाे थियाे अहिलेसम्म पनि टहरामा पढाएकाे छ केहि वर्ष अगाडि टहरा महानगरपालिकाले हटाएकाे थियाे   साथै भर्ना शुल्क पनि ज्यादै महङगाे छ मन्थ्लि प्रि पनि सारै महङगाे छ एकपटक अनुगमन गरिदिनुपर्याे । ,04/21/2024,शिक्षा विभाग,open
108,Ward 3,8812,"काठमाडौँ मन्टेश्वरी बासबारी स्कुलले ३ कक्षामा पढ्ने विद्यार्थीको सबै; स्टेशनरी, खेलकुद आदि जोडेर मासिक शुल्क रु.४२००० बनाएर भर्ना शुल्क पनि रु.४२००० को नै बिल पठाएको छ। अनुगमन गर्दिन पर्यो। ",04/20/2024,शिक्षा विभाग,open
109,NoWard,8797,"SEE पछि bridge course  संचालित हुने ईनस्टिच्युटमा मनलाग्दी फ़ीस उठाएको छ | बच्चालाई त्रायल क्लास १ २ दिनको दिनु मन पर्यो भने जोइन् हुन्छ भन्दा पनि मिल्दैन, पहिला पैसा जम्मा गर्नुस पैसा जम्मा न गरि क्लास बस्न पाहिदैन र पछि मन लागेन भने पैसा फिर्ता पनि हुदैन भन्नु भयो | एस्तो कुराको व्गयवसथा गर्न पाए राम्रो हुन्थ्यो भन्ने सुझाव आएको छ |",04/16/2024,शिक्षा विभाग,open
110,Ward 13,8774,बाफलमा रहेको ज्ञानोदय माध्यमिक विद्यालय एक सरकारी विद्यालय हो या होइन? सरकारी हो भने भर्ना शुल्क (Admission Fee) लाग्छ र? भर्ना शुल्क भनेर २२०० देखि २५०० तोकेको छ। यो विषयमा सम्बन्धित निकायको ध्यानाकर्षण गराउन चाहन्छु। ,04/12/2024,शिक्षा विभाग,open
111,Ward 14,8762,LRI स्कुल गेट निर रहेको Read and Return Stationary सङ्ग मिलेर किताब बेचिरहेको छ | अविभावकलाई बुक लिस्ट दिनुहोस भन्दा पसल रिफर गरेको छ सिधै त्यहाँबाट लिनुहोस् भन्छन | किताब किन्दा दिने छुट माग्दा पसलले स्कुलमा कमिसन दिनु पर्छ त्यसैले छुट दिन मिल्दैन भन्नु भयो | अनुगमन गरिदिनुहुन अनुरोध छ |,04/10/2024,शिक्षा विभाग,open
112,Ward 30,8746,"मैतीदेवी निर भएको Pheonix College of Management ले घोडे जात्राको दिन २६ गते बिदा नदिएर भोलि पल्ट २७ गते छुट्टि दिएको छ तर बिद्यालयको पठ्न पाठन भन्दा पनि राजनितिक पार्टी (दल ) को कार्यक्रमको लागि छुट्टि दिएकोछ, अनुगमन गरि आवस्यक कारवाहि गरिदिनु हुन अनुरोध छ |",04/09/2024,शिक्षा विभाग,open
113,Ward 3,8744,"वडा नं ३ बासबारी चादवाग स्कुल आफैले स्टेशनरी सामान, ड्रेस ,  आफ्नै स्कुलबाट खरिद गर्नु  भनेकाे छ महानगरपालिकाले तत्काल निकालेकाे सुचनामा चाहि स्कुलले बालबालिकालाइ चाहिने कुनै पनि  स्टेशनरी सामान, ड्रेस , स्कुलले बेच्न  पाउँदैन भनेकाे छ तुरुन्त अनुगमन गरी कारबाहि गरिदिनुपर्याे । ",04/09/2024,शिक्षा विभाग,open
114,Ward 10,8730,"बानेश्वरको संगम चोकमा अवस्थित काठमाडौं प्रज्ञा कुञ्ज स्कुल को fee structure अस्वभाविक रहेको; Nursery को 11500 थियो भने class 1 मा 17000 पुगेको छ, यो न्यायोचित हो कि होइन अनुगमन गर्न पर्यो। ",04/07/2024,शिक्षा विभाग,open
115,Ward 10,8553,का म पा वडा नं १० बानेश्वरमा रहेकाे नाेवेल एकेडेमिले पुर्ण रुपमा छात्रवृति पाएकाे विध्यार्थि सँग  परिक्षा शुल्क लियाे । ,03/10/2024,शिक्षा विभाग,open
116,Ward 14,8517,कालिमाटि  एन्भर्स इन्नाेभेटिभ स्कुल ले कक्षा १० काे क्यारेक्टर सटिफिकेट बनाउन खाेजेकाे ५००० भन्छ अरु सबै स्कुलमा ५०० देखि १५०० सम्म लिने रैछन् यस स्कुलकाे उचित अनुगमन  तथा छानविन गरी कारबाही गरिदिनुहुन अनुराेध छ ,03/04/2024,शिक्षा विभाग,open
117,Ward 14,8516,कालिमाटि  एन्भर्स इन्नाेभेटिभ स्कुल ले कक्षा १० काे क्यारेक्टर सटिफिकेट बनाउन खाेजेकाे ५००० भन्छ अरु सबै स्कुलमा ५०० देखि १५०० सम्म लिने रैछन् यस स्कुलकाे उचित अनुगमन  तथा छानविन गरी कारबाही गरिदिनुहुन अनुराेध छ ,03/04/2024,शिक्षा विभाग,open
118,NoWard,8513,का म पा भित्र  बैशाख देखि शुरु हुने स्कुलहरुले प्रि भर्ना फि भनेर भनेर माेटाे रकम अशुल गरेका छन् हाम्रा साना बाबु नानिहरुले २/३ वटा विध्यालयमा भर्ना हुन Exam दिन्छन् केहि गरि राम्राे स्कुलमा नाम निस्कियाे भने अर्काे स्कूलले प्रिभर्ना भनेर लियकाे शुल्क फिर्ता दिदैनन् यस्ता विध्यालयप्रति का म पा काे ध्यान केन्द्रित हाेस् र उचित कारबाहि पनि हाेस्। ,03/04/2024,शिक्षा विभाग,open
119,Ward 9,8495,"नाेबेल एकेडेमि बानेश्वर चाेकमा रहेकाे कलेजले ११ क्लासकाे विध्यार्थी सँग परिक्षार्थी रु १०,००० र इन्जिनियरिङ क्लास फि भनेर रु ६,००० गरेर १६,००० विध्यार्थि सँग असुल गरेकाे छ का म पा काे छात्रवृतिमा पढेकाे विध्यार्थिलाइ याे लिनु जाहेज हाे कि हाेइन अनुगमन गरी कारबाही हाेस् ।",03/01/2024,शिक्षा विभाग,open
120,NoWard,8459,नयाँ बानेश्वर नेल्सन एेकेडेमि  मा पढाएकाे थिए  १२००० जति पैसा दिन मान्नु भएन यसकाे उचित कारबाहीकाे लागि अनुराेध छ । ,02/23/2024,शिक्षा विभाग,open
121,NoWard,8431,"धुम्बाराही  वडा नं ४ मा रहेकाे दुर्गा भवानी एकेडेमी स्कुलले बच्चालाइ अरु स्कुलमा स्पाेट खेलाउन लगेकाे बेला बच्चाकाे हाच भाच्चिएर अपरेशन नै गर्नु पर्याे स्कुलले केहि वास्ता गरेन यसकाे क्षतिपुर्ति त स्कुलेनै व्यहाेर्नुपर्ने हाे हाम्राे आर्थिक अवस्था पनि कमजाेर छ यसकाे उचित अनुगमन गरि पिडितलाइ न्याय दिलाइदिनुपर्याे । 
",02/20/2024,शिक्षा विभाग,open
122,Ward 1,8320,कमलादिको युनिग्लोब  स्कुलले कोच ईन्चार्ज भनेर DI राखेको छ। अनुगमन गरि DI हटाउन अनुरोध छ।,02/05/2024,शिक्षा विभाग,open
123,NoWard,8245,का.म.पा भित्रको स्कुलको १० कक्षाको पुरा नपढाउने त्यसको सट्टा कोचिङ्ग राख्ने र थप शुल्क उठाई अरु किताब किन्न लगाई आर्थिक भार पार्ने गर्दछन। अनुगमन गरि कक्षा राम्रोसंग सञ्चालन गर्नको लागि आवश्यक कारबाहि गर्न अनुरोध छ।,01/25/2024,शिक्षा विभाग,open
124,Ward 31,8233,बानेश्वरमा भएको काठमाडौ प्रज्ञा कुञ्ज स्कुलले बिदा धेरै दिने तर कोर्स सकिएन भनेर ९ कक्षाका विद्यार्थिलाइ बिहान ६ बजेबाट अतिरिक्त कक्षा अनिवार्य गरेको छ जसले गर्दा घरमा पढ्ने समय पनि नहुन र खर्च पनि बढि हुने हुन्छ। अतिरिक्त कक्षा अनिवार्य नगराउन आवश्यक अनुगमन गरि निर्देशन दिनुहुन अनुरोध छ।,01/23/2024,शिक्षा विभाग,open
125,Ward 10,8117,शान्तिनगर को व्राईट ईनटर नेशनल कलेजले डी आई राखी राखेको छ हटाउनु पर्यो ,01/01/2024,शिक्षा विभाग,open
126,NoWard,8077,प्राईभेट स्कुलहरुले Winter camp भनेर एक हत्ताकाे १२००० जती पैसा लिन्छन्  अनुगमन गरीदिनुहन अनुराेध छ । ,12/22/2023,शिक्षा विभाग,open
127,Ward 16,8033,सिद्धार्थ वनस्थली स्कुलले क्यारेटर सटिफिकेटकाे २०००। लियाे अनुगमनकाे लागि अनुराेध छ ,12/15/2023,शिक्षा विभाग,open
128,Ward 10,7974,१० नं वडा बानेश्वरमा रहेकाे नाेवेल एकेडेमी स्कूलले का म पा बाट पूर्ण रुपमा छात्राबृत्री पाएका बिध्यार्थीहरुबाट परिक्षा शल्क लिएकाे छ यसकाे अनुगमन गरी पूर्ण छात्रबृत्रीकाे पाउनकाे लागि अनुराेध छ । ,12/05/2023,शिक्षा विभाग,closed
129,Ward 14,7902,सिद्धार्थ मल्टीमल कलेज कलंकीले व्याचलरकाे क्यारेक्टर सटीफिकेट लिन जादा रु 3000 पैसा लियाे तर रसिदमा चाही श्रावण र भदाैकाे भनेर लेखियाे तर मेराे तिर्नु पर्ने ड्यू पनी थियन ठगि गराे यसकाे उचित छानविन गर्नकाे लागि अनुराेध गर्दछु । ,11/20/2023,"नगर प्रहरी बल,शिक्षा विभाग",closed
130,NoWard,7685,ccrc college ले छात्रवृत्ति पाएको विद्यार्थिबाट वार्षिक ३२०००/- मागेको छ। अनुगमन गरिदिनुहुन अनुरोध छ।,10/04/2023,शिक्षा विभाग,open
131,Ward 7,7665,वाडानं ७  सिफल स्कुल सिफल ले छात्रवृत्तीमा भर्नागरेको विद्यार्थी संग २० हजार महिना फी मागे ,09/30/2023,शिक्षा विभाग,open
132,Ward 16,7640,तरुण मा.वि. मा तालिका अनुसार खाजा नदिएर गुणस्तरहिन खाजा बच्चालाइ खुवाउने गर्छन। आवश्यक अनुगमन गरिदिनुहुन अनुरोध छ।,09/26/2023,शिक्षा विभाग,open
133,Ward 3,7609,श्री बासबारि सेकेन्डरि स्कुल महाराजगञ्जमा स्कुल बन्द भएको छ। अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ। ,09/21/2023,शिक्षा विभाग,open
134,NoWard,7567,ग्लोबल कलेजले छात्रवृति पाएका विद्यार्थिबाट पनि वार्षिक ४००००/- मागेको छ। कारबाहि गरिदिनुहुन अनुरोध छ।,09/14/2023,शिक्षा विभाग,open
135,Ward 16,7510,तरण मा.वि. ले कोचिङ्ग भनि  ८ कक्षाका विद्यार्थिबाट ३०००/- र ९ कक्षाका विद्यार्थिबाट ६०००/- शुल्क लिने गरेको छ। आवश्यक अनुगमन गरिदिनुहुन अनुरोध छ,09/07/2023,शिक्षा विभाग,open
136,NoWard,7506,RELINCE International colledge ले सार्वाजनिक विदाको दिन पनि छुट्टी दिएन ,09/06/2023,शिक्षा विभाग,open
137,NoWard,7505,ग्लोवल कलेजले सार्वजनिक विदाको दिन पनि छुट्टी दीएन ,09/06/2023,शिक्षा विभाग,open
138,NoWard,7471,ट्रिनिटि कलेजले  छात्रवृत्ति पाएको विद्यार्थिबाट २ वर्षको लागि ५००००/- मागेको छ। आवश्यक अनुगमन गरि कारबाहि गर्न अनुरोध छ।,09/01/2023,शिक्षा विभाग,open
139,NoWard,7470,,09/01/2023,शिक्षा विभाग,open
140,Ward 29,7449,29 वडा कार्यालयको विजय स्मारक सेकेन्डरि स्कुलले पहिला मन्टेश्वरि प्रणालिबाट हेर्छ भनि भर्ना लियो तर अहिले बच्चालाइ खास्सै मतलब नै गर्दैन। मासिक फि पनि ४००/- उठाउछ। आवश्यक अनुगमन गरि कारबाहि गर्न अनुरोध छ।,08/30/2023,शिक्षा विभाग,open
141,NoWard,7396,mega college ले छात्रवृतिमा management sub पठ्नेबाट भर्ना फि रु १००००/- उठाएको छ साथै व्यवस्थापन पढ्न नदिइ BHM मा भर्ना गरेको छ।साथै परीक्षा फि तथा कम्प्युर फि पनि लिने भनिरहेको छ। आवश्यक निर्देशन दिनुहुन अनुरोध छ।,08/23/2023,शिक्षा विभाग,open
142,NoWard,7383,विजेश्वरि ज्ञान मन्दिर सैनिक महाविद्यालयमा पहिलानै भर्ना गरि ३५०००/- तिरेको त्यसपछि का.म.पा.ले दिएको छात्रवृत्तिमा सोहि विद्यालय परेको हुदा पहिला दिएको ३५०००/- फिर्ता गरिदिनुहुन अनुरोध छ।,08/21/2023,शिक्षा विभाग,open
143,NoWard,7374,मोर्गन कलेजले छात्रवृत्ति प्राप्त विद्यार्थिलाइ वार्षिक ३००००/- मागेको छ।आवश्यक अनुगमन गरि कारबाहि गर्न अनुरोध छ।,08/20/2023,शिक्षा विभाग,open
144,NoWard,7373,,08/20/2023,शिक्षा विभाग,open
145,NoWard,7368,"ट्रिटन कलेज, बालकुमारिले परीक्षा फि भनेर वार्षिक १००००/- मागेको छ। अनुगमन गरिदिनुहुन अनुरोध छ।",08/18/2023,शिक्षा विभाग,open
146,NoWard,7367,kmc college ले per exam fee भनेर १८००/- उठाएको छ।उठाउन पाउछ पाउदैन भनि प्रश्न आएको छ।,08/18/2023,शिक्षा विभाग,open
147,NoWard,7366,"-नोबेल कलेज न्यु बानेश्वरले २ वर्षको परीक्षा फि भनेर २००००/- मागेको छ।
-सिफल कलेजले का.म.पा. बाट कुनै सूचना आएको छैन भनि छात्रवृत्ति पाएका विद्यार्थिको भर्ना गरेको छैन भाद्र ४ गते आउनु भनि हिजो आज विद्यार्थि फिर्ता पठाएको छ।",08/18/2023,शिक्षा विभाग,open
148,NoWard,7365,"न्यू सुमिट कलेज, मैतिदेविमा वार्षिक ४८०००/- मागेको छ।( विद्यार्थि- विजय सिहं)
अन्नपुर्ण विनायक कलेज, तिनकुनेले extra class fee भनेर वार्षिक २००००/- मागेको छ। (एलिसा सुनुवार)
प्रिमियर सेकेण्डरि स्कुल , बानेश्वरले वार्षिक ३००००/- मागेको छ। (विद्यार्थि-सुनिशतिला श्रेष्ठ)
national college of computer study college, paknajol ले वार्षिक १००००/- मागेको छ।(सुन्दर श्रेष्ठ)
क्रितन बालकुमारि कलेजले वार्षिक १००००/- मागेको छ। 
CCRC कलेजले वार्षिक ४८०००/- मागेको  छ। आवश्यक अनुगमन गरिदिनुहुन अनुरोध छ।",08/18/2023,शिक्षा विभाग,open
149,NoWard,7364,Kist colledge ले २५ हजार वार्षीक फि माग्यो के गर्ने ।,08/18/2023,शिक्षा विभाग,open
150,NoWard,7363,Trinity colledege मा होटेल म्यनेजमेन्ट पडनलाई छात्र वृत्तमा मेरो नाम निस्कीयको थियो तर सिट प्यक भयो भनेर मलाई भरना गर्न मनेन के गर्ने ।,08/18/2023,शिक्षा विभाग,open
151,NoWard,7362,Cosmic colledge ले खेलकुदलगाएत शुल्कको नाममा २७ हजार भन्दा वडी भर्ना शुल्क माग्यो ,08/18/2023,शिक्षा विभाग,open
