S.N,Ward No.,Case No.,Brief Description of the grievance,Date of Grievance,Department,Status
15,Ward 3,32924,"श्रीमान मेयरज्यू, काठमाडौं महानगरपालिका, काठमाडौं ।

विषय: विद्यालय प्रशासनको गैरजिम्मेवारीपूर्ण व्यवहार सम्बन्धमा गुनासो ।

श्रीमान्,

म गुहेश्वरी बोर्डिङ्ग हाई स्कूल, काठमाडौं महानगरपालिका-३, बाँसबारी पिपलबोटमा करिब चार वर्षसम्म +2 कोअर्डिनेटरको रूपमा कार्यरत थिएँ। मैले २०८१ चैत्र २५ गते विद्यालयका निर्देशक र प्रिन्सिपललाई राजीनामा पत्र बुझाएको थिएँ। मेरो राजीनामा पत्रमा चैत्र महिनाभरि बिहान ६ बजे देखि ११ बजे सम्म काम गर्ने तर २०८२ बैशाखदेखि निरन्तरता दिन नसक्ने कुरा स्पष्ट उल्लेख गरिएको थियो।

विद्यालय प्रशासनले मेरो राजीनामा पत्र ग्रहण गरे तापनि अचानक २०८१ चैत्र १ गते मलाई दिउँसो ३ बजेसम्म काम गर्न निर्देशन दिइयो। मेरो मुख्य जिम्मेवारी कलेजका कक्षाहरूको व्यवस्थापन गर्नु हो तर ममाथि विद्यालयका अन्य कार्यहरू पनि जबर्जस्ती थोपर्न खोजियो। यस कारणले मैले २०८१ चैत्र ३ गते विद्यालयका सबै प्रशासकहरू सम्मिलित आधिकारिक भाइबर समूहमा सन्देश पठाएर आफ्नो पद परित्याग गरें र नयाँ पेशागत यात्रा सुरू गरें।

तर आज २०८१ चैत्र १५ गते भइसक्दा पनि विद्यालयका सम्पूर्ण कर्मचारीहरूलाई तलब वितरण भइसकेको छ तर मेरो तलब रोकिएको छ। विद्यालय प्रशासनले मेरो तलब दिन नमानिरहेको छ। यो समस्या म मात्र भोगिरहेको छैन, अन्य धेरै कर्मचारीहरू पनि विद्यालय निर्देशकको दुर्व्यवहारका कारण पीडित छन्। निर्देशक विद्यालयलाई आफ्नो निजी सम्पत्ति ठानेर, “यो मेरो सम्पत्ति हो, म जे गर्छु त्यही हुन्छ, तिमीहरू बोल्ने को हौ?” भन्दै दुर्व्यवहार गर्ने गर्छन्।

विद्यालयमा विद्यार्थीहरूलाई शारीरिक यातना दिने, जबरजस्ती होस्टलमा राख्न बाध्य पार्ने, होस्टलका विद्यार्थीहरूलाई अस्वस्थकर खाना खुवाउनेजस्ता अमानवीय कार्यहरू भइरहेका छन्। उहाँले महानगरपालिकाको शिक्षा विभागको समेत कुनै प्रवाह नगर्ने र “महानगरका अधिकारीहरू केही गर्न सक्दैनन्” भन्ने अभिव्यक्ति दिने गरेको पाइन्छ।

श्रीमान मेयरज्यू, यस विषयमा तुरुन्त आवश्यक छानबिन गरी सम्बन्धित निकायमार्फत उचित कारबाही गर्न अनुरोध गर्दछु। पीडित शिक्षक तथा विद्यार्थीहरूको हितमा आवश्यक कदम चाल्न अनुरोध गर्दै पत्र पेश गरेको छु।

धन्यवाद!

विनम्र, एक पूर्वकर्मचारी, गुहेश्वरी बोर्डिङ्ग हाई स्कूल।",04/02/2025,शिक्षा विभाग,open
16,Ward 3,32881,kaam garayera talab nadi ultai kam bigaris bhanera aarop lagayo bansbari KMC-3 ko guheshwari boarding high schook le,03/27/2025,शिक्षा विभाग,open
18,Ward 25,32812,"काठमाडौं महानगरपालिका वडा नं २५ मा हाल संचालित श्री कृष्ण मन्दिर आधारभूत विद्यालय केही दशक अगाडि स्थानीय जनताका छोरा छोरीहरुले घर नजिक प्राथमिक शिक्षा पढ्न पावस् भन्ने हेतुले  कृष्ण मन्दिर भजन घरमा स्थापना गरिएको थियो । केही समय अगाडि सो स्कूल उक्त भजन घरबाट हटाइए पछि केही समयको लागि भनी स्थानीय भगवती बारीको गुठीको जग्गामा टहरा बनाइ अस्थायी तवरमा चलाउन दिइएको थियो । हाल आएर उक्त स्कूलले त्यस गुठीको जग्गामा दुई तल्लाको स्थायी संरचना बनाउन लागेको बुझिएकोले सो कार्य नियम विपरित भएकोले मान्य नभएको व्यहोरा अवगत गराउन चाहन्छु । तसर्थ उक्त स्कूलले गर्न लागेको सो निर्माण कार्य रोक्न लगाउनको लागि अनुरोध गर्दछु ।
साथै घना आवासीय क्षेत्रको बिचमा हाल अस्थायी तवरमा चलाउन दिइएको उक्त स्कूलले गर्दा भइरहेको तिब्र ध्वनि प्रदुषणको कारणले वरिपरि बस्ने स्थानीय वासिन्दाको दैनिकी कष्टकर भइरहेको, उक्त स्कूलमा कुनै पनि स्थानीय वासिन्दाको छोरा छोरीहरु नपढ्ने भएको र उक्त स्कूलको १00 मिटरको दुरीमा अन्य दुइवटा स्कूलहरु, कन्या मन्दिर माध्यमिक विद्यालय तथा रक्तकाली माध्यमिक विद्यालय, संचालनमा रहेको परिप्रेक्षमा उक्त श्री कृष्ण मन्दिर आधारभूत विद्यालयको आवश्यकता नरहेको टड्कारो देखिएको, यी कारणहरुले गर्दा सो स्कूलमा भइरहेको सरकारी खर्चलाई अरु आवश्यक स्कूलहरुमा प्रयोग गरी उक्त श्री कृष्ण मन्दिर आधारभूत विद्यालयलाई खारेज गर्ने तर्फ कारवाही चलाउन पनि अनुरोध गर्दछु ।",03/21/2025,शिक्षा विभाग,open
19,Ward 11,32800,वडा नं. ११ त्रिपुरेश्वर स्थित विश्व निकेतन कलेजमा कक्षा १२ को विधार्थीसँग वैशाखमा हुने वोर्ड परिक्षा को लागि असाढ सम्मको शुल्क लिएको भनि विधार्थीबाट गुनासो आएको ।,03/19/2025,शिक्षा विभाग,open
20,Ward 11,32799,वडा नं. ११ त्रिपुरेश्वर स्थित विश्व निकेतन कलेजमा कक्षा १२ को विधार्थीसँग वैशाखमा हुने वोर्ड परिक्षा को लागि असाढ सम्मको शुल्क लिएको भनि विधार्थीबाट गुनासो आएको ।,03/19/2025,शिक्षा विभाग,open
21,NoWard,32771,"बाल विकास सहजकर्ता भर्नामा अनियमितता भएको।
बाँसबारी मा वि मा १ जना बालविकास सहजकर्ता भर्ना गर्न खुलाइएको आवेदनमा १५ जना ले परीक्षा दिएपनि पूर्व निर्धारित मिना तिमलसिनालाई परीक्षामा पास भएको प्रति असन्तुष्टि सहित पुनः परीक्षणको लागि निवेदन पेश गर्दछ। विद्यालय प्रशासन बाट निजको हुने पक्का खबर थियो तर पनि महानगरको परीक्षा प्रणालीमा आशा थियो तर यस प्रकारको परीक्षाले फेरि पुरानो शैली आएको जस्तो भएको छ।",03/16/2025,"शिक्षा विभाग,प्रशासन विभाग",open
22,Ward 10,32721,"I heard KMC had made it mandatory for schools to not have D.I. (Disciplinary Incharge), but in the case of Global School Of Science, Baneshwor. There are a total of 3 D.I.(s) who are disguised under the section “Sports and Transportation”. They behave with cruelty and show inhumane behavior towards the students. I request KMC to please kindly look forward into this matter as I have suffered mental trauma because of the D.I.(s). I hope KMC responds in this matter as fast as possible. Thank you KMC Team and Mayor Balen Shah for making the city clean and fun to live in. ",03/07/2025,शिक्षा विभाग,open
23,Ward 26,32685,कामपा २६ वडा सामाखुशीमा रहेको नानीबाबु पाठशाला भन्ने स्कुलले स्टेशनरी भनेर monthly extra charge लिइराखेको छ । अनुगमन गरी नियमन गर्नुपर्यो ।,03/03/2025,शिक्षा विभाग,open
24,Ward 9,32669,"निजी विद्यालय को मनमानी/दादागिरी- Paragon Public School Tilganga, Kathmandu.(बिद्यार्थी सँग महिना को सुरुमा नै पैसा असुल्ने तर शिक्षकहरु लाई ३/४ महिना कट्दा सम्म तलब नखुआउने) र विद्यालय छाडेर गएको १ महिना नाग्दा सम्म पैसा नपाएको .हुँदा मेरो २/५ महिना को तलब असुली गरीदिन अनुरोध गर्दछु।",02/28/2025,शिक्षा विभाग,open
25,NoWard,32638,"MMIST(shahid smarak janaswastha sahakari college ko) shiphal, kalo pool ma raheko college ko DI le student haru lai kapal na katera aayo ko bhanera 2081-11-11 gate 2 Jana student lai HAT PAT garnu ko sath sathai 1week ko lagi suspend gareko x. Yo bishayema principal sanga kura rakhda pani uha haru bata positive kura na aayeko taha student ko manobal giraune kariye bhaye ko ra student le sir ma saloon ma gayera katera aauxu bhanda ni college ko DI le dada sahili ma Jana na deko aafaile samatera student ko kapal katna khojeko na manda HATPAT gareko parati mahanagar ko dhiyan akarshan garauxu. Yesma mahanagar paliko ko team le hami student ko tarfa bata hamro gopniyet rakhera boldina Huna anurodh x.",02/24/2025,शिक्षा विभाग,open
